age,total_view,total_click,total_cart,total_wishlist,click_through_rate,cart_rate,unique_brands,avg_discount,avg_purchase_value,avg_rating,user_total_categories,category_share,wishlist_to_view_ratio,active_engagement_ratio,category_commitment_score,exploration_score,engagement_depth_score,brand_loyalty_score,wishlist_to_cart_ratio,click_engagement_rate,value_per_click,category_breadth_score,rating_concentration,repurchase
44,34,18,12,4,0.5294,0.6667,9,9.79,592000,4.2,5,0.3,0.11428571428571428,0.43478260869565216,20.4,0.6923076923076923,11.333333333333334,1.2,0.3076923076923077,0.8571428571428571,31157.894736842107,0.5,1.26,1
44,8,5,2,3,0.625,0.4,3,16.08,6424000,4.3,5,0.0808,0.3333333333333333,0.3684210526315789,1.4544,1.0,3.0,0.5,1.0,0.7777777777777778,1070666.6666666667,1.25,0.34743999999999997,0
44,12,9,3,12,0.75,0.3333,9,10.15,8594000,4.9,5,0.1808,0.9230769230769231,0.32432432432432434,6.5088,2.25,6.0,0.3,3.0,0.9230769230769231,859400.0,0.5,0.88592,1
44,38,23,12,8,0.6053,0.5217,6,17.61,203000,3.7,5,0.3462,0.20512820512820512,0.4268292682926829,28.0422,0.46153846153846156,13.5,1.7142857142857142,0.6153846153846154,0.8974358974358975,8458.333333333334,0.7142857142857143,1.2809400000000002,1
44,6,4,2,7,0.6667,0.5,1,24.88,262000,4.4,5,0.0923,1.0,0.3,1.7536999999999998,0.3333333333333333,3.1666666666666665,1.0,2.3333333333333335,0.8571428571428571,52400.0,2.5,0.40612,1
52,8,6,4,1,0.75,0.6667,4,34.87,1680000,4.3,4,0.1384,0.1111111111111111,0.5,2.6296,0.8,3.8,0.8,0.2,1.1111111111111112,240000.0,0.8,0.59512,0
52,8,5,6,5,0.625,1.2,4,5.77,274000,4.5,4,0.1635,0.5555555555555556,0.44,3.9240000000000004,0.5714285714285714,4.8,1.2,0.7142857142857143,1.2222222222222223,45666.666666666664,0.8,0.73575,0
52,12,9,2,8,0.75,0.2222,7,17.8,507000,4.0,4,0.2201,0.6153846153846154,0.34375,6.823099999999999,2.3333333333333335,6.2,0.25,2.6666666666666665,0.8461538461538461,50700.0,0.5,0.8804,0
52,34,12,5,19,0.3529,0.4167,13,4.91,93000,2.9,4,0.478,0.5428571428571428,0.23943661971830985,33.46,2.1666666666666665,14.0,0.35714285714285715,3.1666666666666665,0.4857142857142857,7153.846153846154,0.2857142857142857,1.3861999999999999,1
22,2,1,0,5,0.5,0.0,3,9.7,2651000,4.6,9,0.0309,1.6666666666666667,0.1111111111111111,0.2472,3.0,0.8,0.0,5.0,0.3333333333333333,1325500.0,2.25,0.14214,0
