age,total_view,total_click,total_cart,total_wishlist,click_through_rate,cart_rate,unique_brands,avg_discount,avg_purchase_value,avg_rating,user_total_categories,category_share,repurchase
44,34,18,12,4,0.5294,0.6667,9,9.79,592000,4.2,5,0.3,1
44,8,5,2,3,0.625,0.4,3,16.08,6424000,4.3,5,0.0808,0
44,12,9,3,12,0.75,0.3333,9,10.15,8594000,4.9,5,0.1808,1
44,38,23,12,8,0.6053,0.5217,6,17.61,203000,3.7,5,0.3462,1
44,6,4,2,7,0.6667,0.5,1,24.88,262000,4.4,5,0.0923,1
52,8,6,4,1,0.75,0.6667,4,34.87,1680000,4.3,4,0.1384,0
52,8,5,6,5,0.625,1.2,4,5.77,274000,4.5,4,0.1635,0
52,12,9,2,8,0.75,0.2222,7,17.8,507000,4.0,4,0.2201,0
52,34,12,5,19,0.3529,0.4167,13,4.91,93000,2.9,4,0.478,1
22,2,1,0,5,0.5,0.0,3,9.7,2651000,4.6,9,0.0309,0
22,9,7,2,6,0.7778,0.2857,1,19.43,287000,4.6,9,0.0702,0
22,4,1,3,1,0.25,3.0,1,10.81,0,4.0,9,0.0253,0
22,13,7,5,3,0.5385,0.7143,5,8.19,1677000,4.4,9,0.0815,0
22,42,32,19,4,0.7619,0.5938,7,5.71,525000,4.0,9,0.3034,1
22,7,5,2,3,0.7143,0.4,4,23.34,820000,4.8,9,0.0562,0
22,36,25,16,19,0.6944,0.64,7,5.74,16454000,4.7,9,0.2949,1
22,4,3,3,7,0.75,1.0,1,7.49,2858000,3.4,9,0.0534,0
22,15,5,4,5,0.3333,0.8,7,10.82,2335000,4.0,9,0.0843,0
20,13,5,2,16,0.3846,0.4,6,18.49,2843000,4.4,5,0.3964,1
20,0,0,3,3,0.0,0.0,5,17.85,2875000,4.8,5,0.0811,0
20,6,4,1,4,0.6667,0.25,2,10.16,181000,3.7,5,0.1532,0
20,3,1,2,3,0.3333,2.0,1,11.02,852000,4.0,5,0.0901,0
20,11,4,4,8,0.3636,1.0,1,23.72,2199000,3.4,5,0.2793,0
19,8,5,1,3,0.625,0.2,4,11.24,0,3.6,14,0.0417,0
19,5,2,3,9,0.4,1.5,2,2.28,287000,4.0,14,0.0637,1
19,5,2,2,5,0.4,1.0,4,30.53,367000,4.1,14,0.0417,0
19,34,21,13,5,0.6176,0.619,5,12.87,27000,3.7,14,0.1961,1
19,8,3,3,3,0.375,1.0,4,18.11,0,4.0,14,0.0417,0
19,7,4,5,2,0.5714,1.25,2,17.48,47000,4.7,14,0.0588,1
19,6,4,0,6,0.6667,0.0,8,6.19,14576000,4.2,14,0.049,0
19,31,17,8,5,0.5484,0.4706,8,14.65,1460000,4.9,14,0.1667,1
19,8,3,3,6,0.375,1.0,4,18.52,479000,3.6,14,0.0588,0
19,18,14,9,7,0.7778,0.6429,5,5.81,246000,2.5,14,0.125,0
19,9,4,4,1,0.4444,1.0,3,25.18,676000,4.0,14,0.0466,0
19,7,5,2,3,0.7143,0.4,5,5.07,209000,4.7,14,0.049,0
19,3,2,3,2,0.6667,1.5,1,10.61,110000,3.8,14,0.0294,0
19,7,3,1,0,0.4286,0.3333,2,12.25,2932000,4.0,14,0.0319,0
22,16,9,5,1,0.5625,0.5556,1,8.14,833000,4.0,14,0.0835,0
22,44,18,6,11,0.4091,0.3333,4,7.0,2241000,3.8,14,0.2051,0
22,32,15,8,4,0.4688,0.5333,8,26.03,5521000,4.8,14,0.1646,1
22,7,2,0,3,0.2857,0.0,2,35.99,1590000,4.4,14,0.038,0
