user_id,product_category,age,dominant_gender,dominant_location,total_view,total_click,total_cart,total_wishlist,total_interactions,click_through_rate,cart_rate,unique_brands,avg_price,avg_discount,avg_purchase_value,avg_rating,user_total_categories,category_share,repurchase
U0001,Outdoor,44,Nam,Đà Nẵng,34,18,12,4,78,0.5294,0.6667,9,657000,9.79,592000,4.2,5,0.3,1
U0001,Gia dụng,44,Nam,Đà Nẵng,8,5,2,3,21,0.625,0.4,3,7655000,16.08,6424000,4.3,5,0.0808,0
U0001,Điện tử,44,Nam,Đà Nẵng,12,9,3,12,47,0.75,0.3333,9,9565000,10.15,8594000,4.9,5,0.1808,1
U0001,Sách,44,Nam,Đà Nẵng,38,23,12,8,90,0.6053,0.5217,6,247000,17.61,203000,3.7,5,0.3462,1
U0001,Làm đẹp,44,Nam,Đà Nẵng,6,4,2,7,24,0.6667,0.5,1,349000,24.88,262000,4.4,5,0.0923,1
U0002,Thời trang,52,Nữ,Cần Thơ,8,6,4,1,22,0.75,0.6667,4,2580000,34.87,1680000,4.3,4,0.1384,0
U0002,Healthy food,52,Nữ,Cần Thơ,8,5,6,5,26,0.625,1.2,4,291000,5.77,274000,4.5,4,0.1635,0
U0002,Thể thao,52,Nữ,Cần Thơ,12,9,2,8,35,0.75,0.2222,7,617000,17.8,507000,,4,0.2201,0
U0002,Sách,52,Nữ,Cần Thơ,34,12,5,19,76,0.3529,0.4167,13,98000,4.91,93000,2.9,4,0.478,1
U0003,Gia dụng,22,Nữ,Đà Nẵng,2,1,0,5,11,0.5,0.0,3,2936000,9.7,2651000,4.6,9,0.0309,0
U0003,Outdoor,22,Nữ,Đà Nẵng,9,7,2,6,25,0.7778,0.2857,1,357000,19.43,287000,4.6,9,0.0702,0
U0003,Sách,22,Nữ,Đà Nẵng,4,1,3,1,9,0.25,3.0,1,111000,10.81,0,,9,0.0253,0
U0003,Pet care,22,Nữ,Đà Nẵng,13,7,5,3,29,0.5385,0.7143,5,1827000,8.19,1677000,4.4,9,0.0815,0
U0003,Healthy food,22,Nữ,Đà Nẵng,42,32,19,4,108,0.7619,0.5938,7,557000,5.71,525000,,9,0.3034,1
U0003,Decor,22,Nữ,Đà Nẵng,7,5,2,3,20,0.7143,0.4,4,1070000,23.34,820000,4.8,9,0.0562,0
U0003,Luxury,22,Nữ,Đà Nẵng,36,25,16,19,105,0.6944,0.64,7,17456000,5.74,16454000,4.7,9,0.2949,1
U0003,Điện tử,22,Nữ,Đà Nẵng,4,3,3,7,19,0.75,1.0,1,3090000,7.49,2858000,3.4,9,0.0534,0
U0003,Fitness,22,Nữ,Đà Nẵng,15,5,4,5,30,0.3333,0.8,7,2619000,10.82,2335000,,9,0.0843,0
U0004,Gia dụng,20,Nam,Hải Phòng,13,5,2,16,44,0.3846,0.4,6,3488000,18.49,2843000,4.4,5,0.3964,1
U0004,Thời trang,20,Nam,Hải Phòng,0,0,3,3,9,0.0,0.0,5,3500000,17.85,2875000,4.8,5,0.0811,0
U0004,Mẹ & Bé,20,Nam,Hải Phòng,6,4,1,4,17,0.6667,0.25,2,202000,10.16,181000,3.7,5,0.1532,0
U0004,Pet care,20,Nam,Hải Phòng,3,1,2,3,10,0.3333,2.0,1,958000,11.02,852000,4.0,5,0.0901,0
