Feature,LightGBM_Importance,XGBoost_Importance,Avg_Importance
category_commitment_score,1520,0.11740701,760.0587035045028
category_share,1108,0.021636881,554.0108184404671
engagement_depth_score,1017,0.016027274,508.5080136368051
user_total_categories,677,0.01933261,338.50966630503535
avg_purchase_value,555,0.058240723,277.52912036143243
rating_concentration,525,0.010943395,262.5054716975428
value_per_click,456,0.032855503,228.01642775163054
total_wishlist,444,0.064229704,222.03211485221982
wishlist_to_view_ratio,438,0.013181218,219.00659060897306
total_view,415,0.31990469,207.65995234251022
avg_price,393,0.011548663,196.5057743312791
total_click,386,0.029763049,193.01488152425736
category_breadth_score,365,0.009797353,182.50489867664874
age,311,0.008393153,155.50419657630846
discount_sensitivity,301,0.009600221,150.5048001105897
click_through_rate,269,0.009575576,134.50478778779507
active_engagement_ratio,266,0.009741541,133.0048707704991
price_to_value_ratio,263,0.057678845,131.52883942238986
exploration_score,253,0.010762963,126.505381481722
wishlist_to_cart_ratio,243,0.01627042,121.50813520979136
unique_brands,242,0.061415177,121.03070758841932
avg_rating,227,0.0088164145,113.50440820725635
avg_discount,216,0.009241767,108.00462088361382
view_to_click_ratio,200,0.010593728,100.00529686408117
brand_loyalty_score,199,0.009684631,99.50484231533483
click_engagement_rate,161,0.009669816,80.50483490806073
cart_to_click_ratio,129,0.009075937,64.50453796843067
cart_rate,115,0.009130959,57.50456547969952
total_cart,82,0.009035926,41.004517963156104
dominant_location,64,0.008182003,32.0040910015814
dominant_gender,36,0.0082628615,18.004131430760026
